#current test-bed topology for ndnSIM, converted by Ertugrul DOGRULUK, university of minho

router

#node comment yPos xPos

bb-afa NA  42.1  14.5 
bb-anyang NA  37.7 127.00 
bb-arizona NA  32.22896140 -110.94832260
bb-basel NA  47.55858 7.58360
bb-bern NA  46.8 8.58360
bb-bupt  NA  37.40 114.18
bb-byu  NA  40.14 -111.39
bb-cagliari  NA  39.1 8.9
bb-caida  NA  31.87357720 -119.23781110
bb-coruna  NA  43.3 -8.2
bb-cnic  NA  40.0 112.0
bb-copelabs  NA  38.6 -9.0
bb-csu  NA  40.57471750 -105.08482930
bb-goettingen  NA  52.05858 9.58360
bb-indonesia  NA  -6.0 106.8
bb-kisti  NA  36.0 127.50
bb-lip6  NA  48.50 1.71
bb-memphis  NA  35.11860990 -89.93700109999999
bb-michigan  NA  42.50260390 -83.4
bb-minho  NA  41.8 -8.2
bb-msu  NA  17.3 103.7
bb-mumbai_aws  NA  19.0 73.2
bb-neu  NA  42.7 -71.08873579999999
bb-nist  NA  39.14907010 -76.5
bb-ntnu  NA  63.5 10.5
bb-osaka  NA  34.72 135.5193
bb-padua  NA  45.35858 11.78360
bb-pkusz  NA  23.0 114.0
bb-remap  NA  34.4 -117.14807210
bb-srru  NA  15.3 103.7
bb-systemx  NA  48.71 3.19
bb-tno  NA  52.05858 4.0
bb-tongji  NA  31.12 121.30
bb-uaslp  NA  22.0 -100.5
bb-uci  NA  33.1495 -118.145798
bb-ucla  NA  35.5 -120
bb-ufpa  NA  -3.7 -49.6
bb-uiuc  NA  40.60260390 -88.23171080000002
bb-urjc  NA  41.3359 -3.8732
bb-uum  NA  6.6 100.3
bb-waseda  NA  35.8092 139.7193
bb-wu  NA  38.14907010 -90.30334710
leaf-4626	NA	42.1  14.5
leaf-11242	NA	42.1  14.5
leaf-6868	NA	42.1  14.5
leaf-12512	NA	42.1  14.5
leaf-12480	NA	42.1  14.5
leaf-12483	NA	42.1  14.5
leaf-12486	NA	42.1  14.5
leaf-12452	NA	42.1  14.5
leaf-12651	NA	42.1  14.5
leaf-12473	NA	42.1  14.5
leaf-12478	NA	37.7 127.00
leaf-12451	NA	37.7 127.00
leaf-13118	NA	37.7 127.00
leaf-13120	NA	37.7 127.00
leaf-12472	NA	37.7 127.00
leaf-12471	NA	37.7 127.00
leaf-12479	NA	37.7 127.00
leaf-12484	NA	37.7 127.00
leaf-12488	NA	37.7 127.00
leaf-12481	NA	37.7 127.00
leaf-12482	NA	32.22896140 -110.94832260
leaf-12485	NA	32.22896140 -110.94832260
leaf-12492	NA	32.22896140 -110.94832260
leaf-12489	NA	32.22896140 -110.94832260
leaf-12490	NA	32.22896140 -110.94832260
leaf-12491	NA	32.22896140 -110.94832260
leaf-12493	NA	32.22896140 -110.94832260
leaf-12494	NA	32.22896140 -110.94832260
leaf-12495	NA	32.22896140 -110.94832260
leaf-12540	NA	32.22896140 -110.94832260
leaf-12497	NA	47.55858 7.58360
leaf-12496	NA	47.55858 7.58360
leaf-12513	NA	47.55858 7.58360
leaf-12498	NA	47.55858 7.58360
leaf-12509	NA	47.55858 7.58360
